method,seed,N_generated_attempts,N_valid,Validity,Uniqueness,Novelty,Internal_Diversity,JSR_Oracle (Joint Success Rate),JSR_Surrogate,Overall_Pass_Constraints,Pass_Surrogate_A,Pass_Surrogate_B,Pass_Oracle_A,Pass_Oracle_B,SAScore_Mean,SAScore_Std,SAScore_Pass_Rate (<=5.0),AD_Mean_Dist_to_D_A,AD_Mean_Dist_to_D_B,AD_Mean_MaxSim_D_A,AD_Mean_MaxSim_D_B,AD_Fraction_in_D_A (dist<=0.70),AD_Fraction_in_D_B (dist<=0.70),AD_Fraction_in_Both_AD,n_seeds,total_candidates,seed_mean,seed_std,N_generated_attempts_mean,N_generated_attempts_std,N_valid_mean,N_valid_std,Validity_mean,Validity_std,Uniqueness_mean,Uniqueness_std,Novelty_mean,Novelty_std,Internal_Diversity_mean,Internal_Diversity_std,JSR_Oracle (Joint Success Rate)_mean,JSR_Oracle (Joint Success Rate)_std,JSR_Surrogate_mean,JSR_Surrogate_std,Overall_Pass_Constraints_mean,Overall_Pass_Constraints_std,Pass_Surrogate_A_mean,Pass_Surrogate_A_std,Pass_Surrogate_B_mean,Pass_Surrogate_B_std,Pass_Oracle_A_mean,Pass_Oracle_A_std,Pass_Oracle_B_mean,Pass_Oracle_B_std,SAScore_Mean_mean,SAScore_Mean_std,SAScore_Std_mean,SAScore_Std_std,SAScore_Pass_Rate (<=5.0)_mean,SAScore_Pass_Rate (<=5.0)_std,AD_Mean_Dist_to_D_A_mean,AD_Mean_Dist_to_D_A_std,AD_Mean_Dist_to_D_B_mean,AD_Mean_Dist_to_D_B_std,AD_Mean_MaxSim_D_A_mean,AD_Mean_MaxSim_D_A_std,AD_Mean_MaxSim_D_B_mean,AD_Mean_MaxSim_D_B_std,AD_Fraction_in_D_A (dist<=0.70)_mean,AD_Fraction_in_D_A (dist<=0.70)_std,AD_Fraction_in_D_B (dist<=0.70)_mean,AD_Fraction_in_D_B (dist<=0.70)_std,AD_Fraction_in_Both_AD_mean,AD_Fraction_in_Both_AD_std
B0,42.0,1296.0,1000.0,0.7716,1.0,0.969,0.8766,0.273,0.219,0.273,0.312,0.568,0.291,0.834,2.7611,0.806,0.989,0.5257,0.5475,0.4743,0.4525,0.889,0.846,0.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0,101.0,1272.0,1000.0,0.7862,1.0,0.979,0.8799,0.263,0.203,0.262,0.312,0.565,0.289,0.85,2.8088,0.7986,0.986,0.5267,0.5598,0.4733,0.4402,0.897,0.822,0.726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0,2024.0,1313.0,1000.0,0.7616,1.0,0.972,0.879,0.299,0.224,0.296,0.346,0.594,0.319,0.811,2.7971,0.8109,0.985,0.5169,0.5613,0.4831,0.4387,0.914,0.818,0.735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0_aggregated,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3000.0,722.3333,920.7324,1293.6667,16.8193,1000.0,0.0,0.7731,0.0101,1.0,0.0,0.9733,0.0042,0.8785,0.0014,0.2783,0.0152,0.2153,0.009,0.277,0.0142,0.3233,0.016,0.5757,0.013,0.2997,0.0137,0.8317,0.016,2.789,0.0203,0.8052,0.0051,0.9867,0.0017,0.5231,0.0044,0.5562,0.0062,0.4769,0.0044,0.4438,0.0062,0.9,0.0104,0.8287,0.0124,0.7347,0.0069
