,type,n_train,n_test,R2,MAE,RMSE,mean_uncertainty,ROC_AUC,F1,Accuracy
absorption_max_nm,regression,17123,4281,0.8403719170597189,29.906729582572375,44.86034262567687,41.696971033765074,,,
log_extinction,regression,3169,793,0.7059892680949816,0.23062486738365479,0.3374392036949682,0.29553003006829415,,,
quantum_yield,regression,4560,1140,0.3952175595339211,0.18112752732428478,0.22730020885430102,0.17431463132215577,,,
log_half_life,regression,60,15,0.7795103735972388,0.5259736766563772,0.7143776834370066,0.7066997622598432,,,
log_kp,regression,219,55,0.5657624950632345,0.5170827693732012,0.7069483885565052,0.7365737929550822,,,
skin_sensitization,classification,1050,263,,,,0.27192429147762764,0.8590380549682876,0.5111111111111111,0.8326996197718631
skin_irritation,classification,187,47,,,,0.2613740870108099,0.7106227106227107,0.7586206896551724,0.7021276595744681
