"Compound name","Smiles","logkp (cm/s)","skin donor type","skin source site","used layer","skin preparation","storage temperature (°C)","storage duration (days)","neat","donor/skin surface temperature (°C)","donor pH","donor type","acceptor temperature (°C)","acceptor pH","acceptor type","cell type","flux","notes","reference","DOI"
"Ethanol","CCO","-5.012","Cadaver","abdomen","dermis","heat separation","4","","0","25","","","","","Water","Pyrex cell","","","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"Ethanol","CCO","-7.055","Cadaver","abdomen","","","7","4","0","30","","","30","","","","","","Scott, 1990","10.1111/1523-1747.ep12475447"
"Ethyl 3-ethoxypropionate","CCOCCC(=O)OCC","-6.669","Cadaver","","stratum corneum","heat separation","4","2","1","","","","30","7.1","Dulbecco PBS","Franz cell","","acceptor medium contained polyethoxyoleate; also stored at -70 deg. C","Barber, 1992","10.1016/0272-0590(92)90086-W"
"Ethyl nicotinate","CCOC(=O)c1cccnc1","-5.755","Abdominoplasty or mammaplasty","abdomen, breast","epidermis","heat separation","4","","0","37","7.4","","37","","PBS","Franz cell","Jss= 304 ug/(cm^2*h) at c=50mg/ml; Jss=3.30ug/(cm^2*h) at c=0.5mg/ml","","Dalpozzo, 1991","10.1002/jps.2600800114"
"Ethyl p-aminobenzoate","CCOC(=O)c1ccc(cc1)N","-5.255","Cadaver","thigh","epidermis, dermis","dermatomed 300um","4","","0","25","","","25","","","Flow through cell","","","Roy, 1993","10.1002/jps.2600821217"
"Ethylene glycol mono isopropyl ether","OCCOC(C)C","-6.913","Surgery","abdomen","epidermis, dermis","fat removed","-25","120","0","","","","32","","NaCl solution","Franz cell","","","Venier, 2004","10.1016/j.tiv.2004.03.004"
"Ethylene glycol mono isopropyl ether","OCCOC(C)C","-7.125","Surgery","abdomen","epidermis, dermis","fat removed","-25","120","1","","","","32","","NaCl solution","Franz cell","","","Venier, 2004","10.1016/j.tiv.2004.03.004"
"Ethylene glycol mono methyl ether acetate","COCCOC(=O)C","-6.299","Surgery","abdomen","epidermis, dermis","fat removed","-25","120","0","","","","32","","NaCl solution","Franz cell","","","Venier, 2004","10.1016/j.tiv.2004.03.004"
"Ethylene glycol mono methyl ether acetate","COCCOC(=O)C","-6.637","Surgery","abdomen","epidermis, dermis","fat removed","-25","120","1","","","","32","","NaCl solution","Franz cell","","","Venier, 2004","10.1016/j.tiv.2004.03.004"
"Etodolac","CCC1(OCCc2c1[nH]c1c2cccc1CC)CC(=O)O","-5.683","Abdominoplasty","abdomen","epidermis, dermis","","-70","21","0","32","","","37","7.4","PBS","Franz cell","","","Degim, 2003","10.1002/jps.10312"
"Etorphine","CCCC(C1CC23C=CC1(OC)C1C43CCN(C2Cc2c4c(O1)c(O)cc2)C)(O)C","-6","Cadaver","abdomen","","","-20","","0","37","7.3","TRIS buffer","37","7.4","TRIS buffer","","","","Jolicoeur, 1992","10.1023/A:1015877621976"
"Famotidine","NC(=Nc1scc(n1)CSCCC(=NS(=O)(=O)N)N)N","-8.345","Abdominoplasty","abdomen","epidermis, dermis","","-70","21","0","32","","","37","7.4","PBS","Franz cell","","","Degim, 2003","10.1002/jps.10312"
"Fentanyl","CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1","-5.556","Cadaver","thigh","epidermis, dermis","","4","14","0","30","8","","30","6.5","Ringer solution","Glass diffusion cell","Jss_max= 2.0 (0.8-3.8) ug/(cm^2*h); c= 0.2mg/ml","maximum flux value used for kp calculation","Michaels A. S., 1975","10.1002/aic.690210522"
"Fentanyl","CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1","-5.808","Cadaver","abdomen","epidermis","heat separation","-20","","0","37","7.4","Citrate-phosphate buffer","37","7.4","","Glass diffusion cell","","","Roy, 1989","10.1023/A:1015944018555"
