"Compound name","Smiles","logkp (cm/s)","skin donor type","skin source site","used layer","skin preparation","storage temperature (°C)","storage duration (days)","neat","donor/skin surface temperature (°C)","donor pH","donor type","acceptor temperature (°C)","acceptor pH","acceptor type","cell type","flux","notes","reference","DOI"
"Ibuprofen","CC(Cc1ccc(cc1)C(C(=O)O)C)C","-4.996","Abdominoplasty","abdomen","epidermis, dermis","","","","0","","","Water","37","7.4","PBS","Franz cell","","","Degim, 1998","10.1016/S0378-5173(98)00113-6"
"Ibuprofen","CC(Cc1ccc(cc1)C(C(=O)O)C)C","-5.503","Abdominoplasty","abdomen","epidermis","heat separation","-20","","0","37","7","PBS","37","7.4","PBS","Franz cell","Jss= 29.890±8.95ug/(cm^2*h) kp 1.13*10^-2(cm/h) 2","","Swart, 2005","10.1016/j.ijpharm.2005.05.030"
"Ibuprofen glucoside","CC(Cc1ccc(cc1)C(C(=O)OC[C@H]1OC(O)[C@@H]([C@H]([C@@H]1O)O)O)C)C","-6.945","Abdominoplasty","abdomen","epidermis","heat separation","-20","","0","37","7","PBS","37","7.4","PBS","Franz cell","Jss= 1.840±0.49 ug/(cm^2*h) kp 4.09*10^-4(cm/h) 7","","Swart, 2005","10.1016/j.ijpharm.2005.05.030"
"Ibuprofen mannoside","CC(Cc1ccc(cc1)C(C(=O)OC[C@H]1OC(O)[C@H]([C@H]([C@@H]1O)O)O)C)C","-6.548","Abdominoplasty","abdomen","epidermis","heat separation","-20","","0","37","7","PBS","37","7.4","PBS","Franz cell","Jss= 2.900±1.23 ug/(cm^2*h) kp 1.02*10^-3(cm/h) 8","","Swart, 2005","10.1016/j.ijpharm.2005.05.030"
"Indomethacin","COc1ccc2c(c1)c(CC(=O)O)c(n2C(=O)c1ccc(cc1)Cl)C","-6.997","Amputated limb","thigh","epidermis","heat separation","4","7","0","32","7.2","PBS","","","","","","","Hirvonen, 1991","10.1023/a:1015824100788"
"Isonicotinic acid","OC(=O)c1ccncc1","-8.173","Abdominoplasty or mammaplasty","abdomen, breast","epidermis","heat separation","4","","0","37","7.4","","37","","PBS","Franz cell","Jss= 0.5 ug/(cm^2*h); c=20.7mg/m","","Dalpozzo, 1991","10.1002/jps.2600800114"
"Isoquinoline","c1ccc2c(c1)cncc2","-5.332","Cadaver","abdomen","epidermis, dermis","fat removed","4","0.5","0","30","7.4","NaOH","37","7.4","NaOH","Franz cell","","","Hadgraft, 1987","10.1016/0378-5173(87)90210-9"
"Ketoprofen","OC(=O)C(c1cccc(c1)C(=O)c1ccccc1)C","-6.768","Abdominoplasty","abdomen","epidermis, dermis","","-70","21","0","32","","","37","7.4","PBS","Franz cell","","","Degim, 2003","10.1002/jps.10312"
"Ketoprofen","OC(=O)C(c1cccc(c1)C(=O)c1ccccc1)C","-6.151","Abdominoplasty","abdomen","epidermis","heat separation","-20","","0","37","7","PBS","37","7.4","PBS","Franz cell","Jss= 8.951±2.32 ug/(cm^2*h) kp 2.54*10^-3(cm/h) 3","","Swart, 2005","10.1016/j.ijpharm.2005.05.030"
"Ketoprofen glucoside","OC1O[C@H](COC(=O)C(c2cccc(c2)C(=O)c2ccccc2)C)[C@H]([C@@H]([C@H]1O)O)O","-7.731","Abdominoplasty","abdomen","epidermis","heat separation","-20","","0","37","7","PBS","37","7.4","PBS","Franz cell","Jss= 0.342±0.15 ug/(cm^2*h) kp 6.69*10^-5(cm/h) 9","","Swart, 2005","10.1016/j.ijpharm.2005.05.030"
"Ketoprofen mannoside","OC1O[C@H](COC(=O)C(c2cccc(c2)C(=O)c2ccccc2)C)[C@H]([C@@H]([C@@H]1O)O)O","-7.594","Abdominoplasty","abdomen","epidermis","heat separation","-20","","0","37","7","PBS","37","7.4","PBS","Franz cell","Jss= 0.329±0.38 ug/(cm^2*h) kp 9.17*10^-5(cm/h) 10","","Swart, 2005","10.1016/j.ijpharm.2005.05.030"
"Ketorolac","OC(=O)C1CCn2c1ccc2C(=O)c1ccccc1","-5.799","Cadaver","","epidermis, dermis","","","","0","32","7.4","","32","7.4","PBS with gentamycine","Franz cell","Jss= 0.8±0.4 ug/(cm^2*h); c=0.14mg/ml","","Roy, 1995","10.1002/jps.2600841010"
"L-alanyl-L-tryptophan","OC(=O)[C@H](Cc1c[nH]c2c1cccc2)NC(=O)[C@@H](N)C","-8.38","Abdominoplasty","abdomen","epidermis","heat separation","-20","60","0","35","7.4","HEPES","35","","","Glass diffusion cell","","","Krishnan, 2011","10.1002/bip.21520"
"L-alanyl-L-tryptophan","OC(=O)[C@H](Cc1c[nH]c2c1cccc2)NC(=O)[C@@H](N)C","-8.637","Abdominoplasty","abdomen","epidermis","heat separation","-20","60","0","35","5.5","HEPES","35","","","Glass diffusion cell","","","Krishnan, 2011","10.1002/bip.21520"
"Levosimendan","N#CC(=NNc1ccc(cc1)C1=NNC(=O)C[C@H]1C)C#N","-6.484","Cadaver","abdomen","epidermis","heat separation","","","0","25","5","Acetate solution","25","","","Glass diffusion cell","Jss= 0.024 ug/(cm^2*h)±0.009; c=20(ug/ml)","","Valjakka-Koskela, 2000","10.1016/S0928-0987(00)00120-2"
"Levosimendan","N#CC(=NNc1ccc(cc1)C1=NNC(=O)C[C@H]1C)C#N","-7.954","Cadaver","abdomen","epidermis","heat separation","","","0","","7.4","PBS","","","","Glass diffusion cell","Jss= 0.016 ug/(cm^2*h); c=0.4mg/ml","","Valjakka-Koskela, 2000","10.1016/S0928-0987(00)00120-2"
"Lidocaine","CCN(CC(=O)Nc1c(C)cccc1C)CC","-5.958","Cadaver","abdomen, chest, back","epidermis","heat separation","5","7","0","","","PBS","","7.4","PBS","Glass diffusion cell","","","Johnson, 1996","10.1021/js960079z"
"Lidocaine","CCN(CC(=O)Nc1c(C)cccc1C)CC","-6.079","","","epidermis","heat separation","","","0","","7.4","PBS","","7.4","PBS","Glass diffusion cell","","","Mitragotri, 2000","10.1023/A:1007547809430"
"Lidocaine","CCN(CC(=O)Nc1c(C)cccc1C)CC","-7.021","Amputated limb","leg","epidermis, dermis","dermatomed 150um","-14.5","","0","","4.0","Hydroxypropyl cellulose, chlorbutanol","","","","Flow through cell","Jss= 150(SD=34) ug/(cm^2*h); c=437.3+-86.8 mg/ml","donor medium applied as suspention","Kushla, 1991","10.1016/0378-5173(91)90387-4"
"Lidocaine","CCN(CC(=O)Nc1c(C)cccc1C)CC","-6.967","Amputated limb","leg","epidermis, dermis","dermatomed 150um","-14.5","","0","","6.0","Hydroxypropyl cellulose, chlorbutanol","","","","Flow through cell","Jss= 158(SD=4) ug/(cm^2*h); c=406.5+-62.0 mg/ml","donor medium applied as suspention","Kushla, 1991","10.1016/0378-5173(91)90387-4"
"Lidocaine","CCN(CC(=O)Nc1c(C)cccc1C)CC","-5.707","Amputated limb","leg","epidermis, dermis","dermatomed 150um","-14.5","","0","","7.8","Hydroxypropyl cellulose, chlorbutanol","","","","Flow through cell","Jss= 238(SD=56) ug/(cm^2*h); c=33.71+-0.86 mg/ml","donor medium applied as suspention","Kushla, 1991","10.1016/0378-5173(91)90387-4"
"Lidocaine","CCN(CC(=O)Nc1c(C)cccc1C)CC","-5.53","Amputated limb","leg","epidermis, dermis","dermatomed 150um","-14.5","","0","","10.0","Hydroxypropyl cellulose, chlorbutanol","","","","Flow through cell","Jss= 208(SD=29) ug/(cm^2*h); c=19.58+-1.04 mg/ml","donor medium applied as suspention","Kushla, 1991","10.1016/0378-5173(91)90387-4"
"Lindane","ClC1C(Cl)C(Cl)C(C(C1Cl)Cl)Cl","-8.784","Abdominoplasty or mammaplasty","abdomen, breast","epidermis, dermis","dermatomed 230um","-70","","0","32","","Acetate solution","","","Ethanol 50%","Static diffusion cell","Jss= 710±70 ng/(cm^2*h); c=120mg/ml","","Dick, 1997","10.1177/096032719701601104"
"Lindane","ClC1C(Cl)C(Cl)C(C(C1Cl)Cl)Cl","-6.691","Abdominoplasty or mammaplasty","abdomen, breast","epidermis, dermis","dermatomed 230um","-70","","0","32","","White spirit","","","Ethanol 50%","Static diffusion cell","Jss= 2200±280 ng/(cm^2*h); c=3mg/ml","","Dick, 1997","10.1177/096032719701601104"
"Lindane","ClC1C(Cl)C(Cl)C(C(C1Cl)Cl)Cl","-7.109","Abdominoplasty or mammaplasty","abdomen, breast","epidermis, dermis","dermatomed 230um","-70","","0","32","","White spirit, pentachlorophenyl laurate, other ingredients","","","Ethanol 50%","Static diffusion cell","Jss= 1400±270 ng/(cm^2*h); c=5mg/ml","","Dick, 1997","10.1177/096032719701601104"
"Lindane","ClC1C(Cl)C(Cl)C(C(C1Cl)Cl)Cl","-7.887","Abdominoplasty or mammaplasty","abdomen, breast","epidermis, dermis","dermatomed 230um","-70","","0","32","","Spray dilution. Water, pentachlorophenyl laurate, surfactants","","","Ethanol 50%","Static diffusion cell","Jss= 280±53 ng/(cm^2*h); c=6mg/ml","","Dick, 1997","10.1177/096032719701601104"
"Linolenic acid","CC/C=C/C/C=C/C/C=C/CCCCCCCC(=O)O","-5.988","","abdomen","epidermis","prepared with NaBr solution","-80","","0","","","NaCl, sodium azide","","","","","","","Buist, 2010","10.1016/j.yrtph.2010.02.008"
"Lysine","NCCCC[C@@H](C(=O)O)N","-7.328","Cadaver","thigh","epidermis, dermis","dermatomed 500um","-20","","0","","7.3","NaCl solution","37","7.3","NaCl solution","Glass diffusion cell","","","Sznitowska, 1993","10.1016/0378-5173(93)90321-6"
"Lysine","NCCCC[C@@H](C(=O)O)N","-6.86","Cadaver","thigh","epidermis, dermis","dermatomed 500um","-20","","0","","8.9","NaCl solution","37","7.3","NaCl solution","Glass diffusion cell","","","Sznitowska, 1993","10.1016/0378-5173(93)90321-6"
"m-Cresol","Cc1cccc(c1)O","-5.373","Cadaver","abdomen","epidermis","exposure to ammonia fumes","","","0","25","","","25","","","Pyrex cell","","","Roberts, 1977","10.1111/j.2042-7158.1977.tb11434.x"
"m-Nitrophenol","Oc1cccc(c1)[N+](=O)[O-]","-5.805","Cadaver","abdomen","epidermis","exposure to ammonia fumes","","","0","25","","","25","","","Pyrex cell","","","Roberts, 1977","10.1111/j.2042-7158.1977.tb11434.x"
"Malathion","CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC","-4.249","Cadaver","","epidermis, dermis","dermatomed 1000um","","","0","37","","Ethanol","37","7.4","PBS","Flow through cell","","","Wester, 1996","10.1016/0278-6915(96)00030-0"
"Mannitol","OC[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O","-7.81","","","epidermis","heat separation","","","0","37","7.5","PBS with sodium azide","37","7.5","PBS with sodium azide","Glass diffusion cell","","dual permeation study: urea and mannitol","Peck, 1994","10.1023/A:1018998529283"
"Mannitol","OC[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O","-8.158","Cadaver","abdomen","epidermis","heat separation","","","0","32","","NaCl solution","32","","NaCl solution","Flow through cell","","","Clowes, 1994","10.1016/0887-2333(94)90078-7"
"Mannitol","OC[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O","-7.923","Cadaver","abdomen","epidermis, dermis","dermatomed 130um","","4","0","32","","NaCl solution","33","","NaCl solution","Flow through cell","","","Clowes, 1994","10.1016/0887-2333(94)90078-7"
"Mannitol","OC[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O","-7.771","Cadaver","abdomen","","","7","4","0","30","","","30","","","","","","Scott, 1990","10.1111/1523-1747.ep12475447"
"Meperidine","CCOC(=O)C1(CCN(CC1)C)c1ccccc1","-5.988","Cadaver","abdomen","epidermis","heat separation","-20","","0","37","7.4","Citrate-phosphate buffer","37","7.4","","Glass diffusion cell","","","Roy, 1989","10.1023/A:1015944018555"
"Methanol","CO","-6.556","Cadaver","abdomen","epidermis","heat separation","","","0","","","","","","","Pyrex cell","","","Scheuplein, 1965","10.1038/jid.1965.140"
"Methanol","CO","-3.857","","","","","","","0","","","","","","","","","","Scheuplein, 1971","10.1152/physrev.1971.51.4.702"
"Methanol","CO","-5.539","Cadaver","abdomen","epidermis","heat separation","4","","1","25","","","","","Water","Pyrex cell","","","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"Methanol","CO","-6.857","Cadaver","abdomen","epidermis","heat separation","4","","0","25","","","","","Water","Pyrex cell","","","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"Methanol","CO","-5.195","Cadaver","abdomen","dermis","heat separation","4","","1","25","","","","","Water","Pyrex cell","","","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"Methanol","CO","-4.832","Cadaver","abdomen","dermis","heat separation","4","","0","25","","","","","Water","Pyrex cell","","","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"Methanol","CO","-6.352","Cadaver","abdomen","stratum corneum","heat separation, hydrated","","","0","30","","","","","","Glass diffusion cell","","","Southwell, 1984","10.1016/0378-5173(84)90145-5"
"Methotrexate","OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)N(Cc1cnc2c(n1)c(N)nc(n2)N)C","-7.007","Cadaver","abdomen","epidermis, dermis","","","","0","","","Propylene glycol/water (50%)","37","","NaCl solution","","","","Vaidyanathan, 1985","10.1016/0378-5173(85)90106-1"
"Methotrexate","OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)N(Cc1cnc2c(n1)c(N)nc(n2)N)C","-7.503","Cadaver","abdomen","epidermis, dermis","","","","0","","1.98","Propylene glycol/water (50%)","37","","NaCl solution","","Jss= 0.1588 ug/(cm^2*h); c=1405.9ug/ml","","Vaidyanathan, 1985","10.1016/0378-5173(85)90106-1"
"Methotrexate","OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)N(Cc1cnc2c(n1)c(N)nc(n2)N)C","-7.209","Cadaver","abdomen","epidermis, dermis","","","","0","","2.98","Propylene glycol/water (50%)","37","","NaCl solution","","Jss= 0.1995 ug/(cm^2*h); c=897.6ug/ml","","Vaidyanathan, 1985","10.1016/0378-5173(85)90106-1"
"Methotrexate","OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)N(Cc1cnc2c(n1)c(N)nc(n2)N)C","-6.613","Cadaver","abdomen","epidermis, dermis","","","","0","","3.87","Propylene glycol/water (50%)","37","","NaCl solution","","Jss= 0.4064 ug/(cm^2*h); c=463.3ug/ml","","Vaidyanathan, 1985","10.1016/0378-5173(85)90106-1"
"Methotrexate","OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)N(Cc1cnc2c(n1)c(N)nc(n2)N)C","-6.807","Cadaver","abdomen","epidermis, dermis","","","","0","","4.12","Propylene glycol/water (50%)","37","","NaCl solution","","Jss= 0.3182 ug/(cm^2*h); c=566.5ug/ml","","Vaidyanathan, 1985","10.1016/0378-5173(85)90106-1"
"Methotrexate","OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)N(Cc1cnc2c(n1)c(N)nc(n2)N)C","-6.503","Cadaver","abdomen","epidermis, dermis","","","","0","","5.29","Propylene glycol/water (50%)","37","","NaCl solution","","Jss= 1.6687 ug/(cm^2*h); c=1476.5ug/ml","","Vaidyanathan, 1985","10.1016/0378-5173(85)90106-1"
"Methotrexate","OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)N(Cc1cnc2c(n1)c(N)nc(n2)N)C","-6.84","Cadaver","abdomen","epidermis, dermis","","","","0","","6.34","Propylene glycol/water (50%)","37","","NaCl solution","","Jss= 2.5819 ug/(cm^2*h); c=4963.6ug/ml","","Vaidyanathan, 1985","10.1016/0378-5173(85)90106-1"
"Methyl 4-hydroxybenzoate","COC(=O)c1ccc(cc1)O","-5.23","Abdominoplasty","abdomen","epidermis","heat separation","","","0","32","7.4","PBS","37","","PBS","Franz cell","","","Akomeah, 2007","10.1002/jps.20773"
"Methyl 4-hydroxybenzoate","COC(=O)c1ccc(cc1)O","-5.596","Cadaver","abdomen","epidermis","exposure to ammonia fumes","","","0","25","","","25","","","Pyrex cell","","","Roberts, 1977","10.1111/j.2042-7158.1977.tb11434.x"
"Methyl 4-hydroxybenzoate","COC(=O)c1ccc(cc1)O","-5.634","Cadaver","back, leg","epidermis","heat separation","-70","","0","32","7.4","PBS","32","7.4","PBS with sodium azide","","Jss= 26.0±7.8% ug/(cm^2*h); c=3.11±49% mg/ml","","Romonchuk, 2010","10.1159/000272121"
"Methyl 4-hydroxybenzoate","COC(=O)c1ccc(cc1)O","-5.632","Abdominoplasty","abdomen","epidermis","heat separation","-20","90","0","32","7.4","PBS","32","","PBS with ethanol","Franz cell","","","Zhang, 2009","10.1007/s11095-009-9912-4"
"Methyl 4-hydroxyphenylacetate","COC(=O)Cc1ccc(cc1)O","-5.255","Abdominoplasty","abdomen","stratum corneum","trypsinisation","","","0","","4","Succinate solution","","","","Flow through cell","","","Anderson, 1989","10.1111/1523-1747.ep12277592"
"Methyl nicotinate","COC(=O)c1cccnc1","-6.046","Abdominoplasty or mammaplasty","abdomen, breast","epidermis","heat separation","4","","0","37","7.4","","37","","PBS","Franz cell","Jss= 309 ug/(cm^2*h) at c=100mg/ml; Jss=170ug/(cm^2*h) at c=50mg/ml","","Dalpozzo, 1991","10.1002/jps.2600800114"
"Methyl nicotinate","COC(=O)c1cccnc1","-5.966","Abdominoplasty","abdomen","epidermis, dermis","","","","0","","","Water","37","7.4","PBS","Franz cell","","","Degim, 1998","10.1016/S0378-5173(98)00113-6"
"Methyl p-aminobenzoate","COC(=O)c1ccc(cc1)N","-5.195","Cadaver","thigh","epidermis, dermis","dermatomed 300um","4","","0","25","","","25","","","Flow through cell","","","Roy, 1993","10.1002/jps.2600821217"
"Methyl p-aminobenzoate","COC(=O)c1ccc(cc1)N","-5.012","Cadaver","thigh","epidermis, dermis without stratum corneum","dermatomed, tape-stripped","4","","0","25","","","25","","","Flow through cell","","","Roy, 1993","10.1002/jps.2600821217"
"Methyl salicylate","COC(=O)c1ccccc1O","-5","Abdominoplasty","abdomen","epidermis","heat separation","-20","90","0","32","7.4","PBS","32","","PBS with ethanol","Franz cell","","","Zhang, 2009","10.1007/s11095-009-9912-4"
"Methyltriglycol nicotinate","COCCOCCOCCOC(=O)c1cccnc1","-7.308","Abdominoplasty or mammaplasty","abdomen, breast","epidermis","heat separation","4","","0","37","7.4","","37","","PBS","Franz cell","Jss= 17.7 ug/(cm^2*h); c=100mg/ml","","Dalpozzo, 1991","10.1002/jps.2600800114"
"Metoprolol","COCCc1ccc(cc1)OCC(CNC(C)C)O","-6.637","Abdominoplasty","abdomen","epidermis, dermis","dermatomed 1200um, hydrated","-20","","0","32","7.4","Sorensen buffer","32","7.6","Sorensen buffer","Franz cell","","","Modamio, 2000","10.1016/S0378-5173(99)00380-4"
"Minoxidil","Nc1cc(nc(=N)n1O)N1CCCCC1","-5.477","Cadaver","abdomen","epidermis","heat separation","","","0","37","","","37","","NaCl solution with gentamicin (0.016%)","Vertical flow diffusion cell","","PubMed: pubmed.ncbi.nlm.nih.gov/11233083/","Ghosh, 2000","null"
"Morphine","O[C@H]1C=C[C@@H]2[C@@]34[C@H]1Oc1c4c(C[C@H]2N(CC3)C)ccc1O","-8.588","Cadaver","abdomen","epidermis","heat separation","-20","","0","37","7.4","Citrate-phosphate buffer","37","7.4","","Glass diffusion cell","","","Roy, 1989","10.1023/A:1015944018555"
"Morphine","O[C@H]1C=C[C@@H]2[C@@]34[C@H]1Oc1c4c(C[C@H]2N(CC3)C)ccc1O","-9.352","Cadaver","abdomen, thigh","epidermis","heat separation","-20","","0","37","7.5","","37","7.4","","Glass diffusion cell","","","Roy, 1994","10.1002/jps.2600831215"
"N,N-Diethyl-m-toluamide","CCN(C(=O)c1cccc(c1)C)CC","-6.792","Surgery","","epidermis, dermis","","-20","","0","37","","45% Propylene glycol in water (10% DEET solution)","37","7.4","PBS","Franz cell","","","Ross, 2000","10.1016/S0168-3659(00)00210-8"
"N,N-Diethyl-m-toluamide","CCN(C(=O)c1cccc(c1)C)CC","-6.78","Surgery","","epidermis, dermis","","-20","","0","37","","60% Propylene glycol in water  (10% DEET solution)","37","7.4","PBS","Franz cell","","","Ross, 2000","10.1016/S0168-3659(00)00210-8"
"N,N-Diethyl-m-toluamide","CCN(C(=O)c1cccc(c1)C)CC","-7.392","Surgery","","epidermis, dermis","","-20","","0","37","","75% Propylene glycol in water  (10% DEET solution)","37","7.4","PBS","Franz cell","","","Ross, 2000","10.1016/S0168-3659(00)00210-8"
"N,N-Diethyl-m-toluamide","CCN(C(=O)c1cccc(c1)C)CC","-7.561","Surgery","","epidermis, dermis","","-20","","0","37","","90% Propylene glycol in water  (10% DEET solution)","37","7.4","PBS","Franz cell","","","Ross, 2000","10.1016/S0168-3659(00)00210-8"
"N,N-Diethyl-m-toluamide","CCN(C(=O)c1cccc(c1)C)CC","-7.477","Surgery","","epidermis, dermis","","-20","","0","37","","60% PEG 400 in water (10% DEET solution)","37","7.4","PBS","Franz cell","","","Ross, 2000","10.1016/S0168-3659(00)00210-8"
"N,N-Diethyl-m-toluamide","CCN(C(=O)c1cccc(c1)C)CC","-7.535","Surgery","","epidermis, dermis","","-20","","0","37","","75% PEG 400 in water (10% DEET solution)","37","7.4","PBS","Franz cell","","","Ross, 2000","10.1016/S0168-3659(00)00210-8"
"N,N-Diethyl-m-toluamide","CCN(C(=O)c1cccc(c1)C)CC","-7.699","Surgery","","epidermis, dermis","","-20","","0","37","","30% Propylene glycol, 60% PEG 400 (10% DEET solution)","37","7.4","PBS","Franz cell","","","Ross, 2000","10.1016/S0168-3659(00)00210-8"
"N,N-Diethyl-m-toluamide","CCN(C(=O)c1cccc(c1)C)CC","-7.474","Surgery","","epidermis, dermis","","-20","","0","37","","30 % Ethanol in water","37","7.4","PBS","Franz cell","","","Stinecipher, 1997","10.1080/00984109708984056"
"N,N-Diethyl-m-toluamide","CCN(C(=O)c1cccc(c1)C)CC","-6.446","Surgery","","epidermis, dermis","","-20","","0","37","","45 % Ethanol in water","37","7.4","PBS","Franz cell","","","Stinecipher, 1997","10.1080/00984109708984056"
"N,N-Diethyl-m-toluamide","CCN(C(=O)c1cccc(c1)C)CC","-6.954","Surgery","","epidermis, dermis","","-20","","0","37","","60 % Ethanol in water","37","7.4","PBS","Franz cell","","","Stinecipher, 1997","10.1080/00984109708984056"
"N,N-Diethyl-m-toluamide","CCN(C(=O)c1cccc(c1)C)CC","-7.158","Surgery","","epidermis, dermis","","-20","","0","37","","75 % Ethanol in water","37","7.4","PBS","Franz cell","","","Stinecipher, 1997","10.1080/00984109708984056"
"N,N-Diethyl-m-toluamide","CCN(C(=O)c1cccc(c1)C)CC","-8.352","Surgery","","epidermis, dermis","","-20","","0","37","","90 % Ethanol in water","37","7.4","PBS","Franz cell","","","Stinecipher, 1997","10.1080/00984109708984056"
"n-Hexyl nicotinate","CCCCCCOC(=O)c1cccnc1","-5.303","Abdominoplasty or mammaplasty","abdomen, breast","epidermis","heat separation","4","","0","37","7.4","","37","","PBS","Franz cell","Jss= 3.58 ug/(cm^2*h); c=0.2mg/m","","Dalpozzo, 1991","10.1002/jps.2600800114"
"n-Nitrosodiethanolamine","OCCN(N=O)CCO","-5.944","Cadaver","abdomen","epidermis, dermis","heat separation","-20","","0","32","","Isopropyl myristate containing sucrose","37","7.4","PBS","Franz cell","","","Brain, 1995","10.1016/0278-6915(94)00146-F"
"N4-acetyl-4-amino-1-[(2R,3S,4R,5R)-3,4-dihydroxy-5 (hydroxymethyl)oxolan-2-yl] pyrimidin-2-one","OC[C@H]1O[C@H]([C@H]([C@H]1O)O)n1ccc(nc1=O)NC(=O)C","-6.889","Abdominoplasty","abdomen","epidermis","heat separation","-20","","0","32","7.4","PBS","32","7.4","PBS","Franz cell","Jss= 19.72 nmol/(cm^2*h) SD=10.79; c=42.43(umol/ml)","","Legoabe, 2010","10.1211/jpp.62.06.0012"
"N4-hexanoyl-4-amino-1-[(2R,3S,4R,5R)-3,4-dihydroxy-5 (hydroxymethyl)oxolan-2-yl] pyrimidin-2-one","CCCCCC(=O)Nc1ccn(c(=O)n1)[C@@H]1O[C@@H]([C@@H]([C@@H]1O)O)CO","-5.737","Abdominoplasty","abdomen","epidermis","heat separation","-20","","0","32","7.4","PBS","32","7.4","PBS","Franz cell","Jss= 95.93 nmol/(cm^2*h) SD=55.87; c=14.53(umol/ml)","","Legoabe, 2010","10.1211/jpp.62.06.0012"
"Naphthol","Oc1cccc2c1cccc2","-5.141","","","epidermis","heat separation","","","0","","7.4","PBS","","7.4","PBS","Glass diffusion cell","","","Mitragotri, 2000","10.1023/A:1007547809430"
"Naproxen","COc1ccc2c(c1)ccc(c2)C(C(=O)O)C","-6.096","Abdominoplasty","abdomen","epidermis, dermis","","","","0","","","Water","37","7.4","PBS","Franz cell","","","Degim, 1998","10.1016/S0378-5173(98)00113-6"
"Naproxen","COc1ccc2c(c1)ccc(c2)C(C(=O)O)C","-7.218","Abdominoplasty","abdomen","epidermis","heat separation","-20","","0","37","7","PBS","37","7.4","PBS","Franz cell","Jss= 4.076±0.77 ug/(cm^2*h) kp 2.18*10^-4(cm/h) 4","","Swart, 2005","10.1016/j.ijpharm.2005.05.030"
"Naproxen glucoside","COc1ccc2c(c1)ccc(c2)[C@@H](C(=O)OC[C@H]1OC(O)[C@@H]([C@H]([C@@H]1O)O)O)C","-7.886","Abdominoplasty","abdomen","epidermis","heat separation","-20","","0","37","7","PBS","37","7.4","PBS","Franz cell","Jss= 0.134±0.08 ug/(cm^2*h) kp 4.68*10^-5(cm/h) 11","","Swart, 2005","10.1016/j.ijpharm.2005.05.030"
"Naproxen mannoside","COc1ccc2c(c1)ccc(c2)[C@@H](C(=O)OC[C@H]1OC(O)[C@H]([C@H]([C@@H]1O)O)O)C","-7.7","Abdominoplasty","abdomen","epidermis","heat separation","-20","","0","37","7","PBS","37","7.4","PBS","Franz cell","Jss= 0.183±0.12 ug/(cm^2*h) kp 7.18*10^-5(cm/h) 12","","Swart, 2005","10.1016/j.ijpharm.2005.05.030"
"Nicorandil","[O-][N+](=O)OCCNC(=O)c1cccnc1","-7.131","Surgery","breast","","","-20","30","0","","","Water","","","","","","donor medium applied as suspention","Sato, 1991","10.1002/jps.2600800203"
"Nicotine","CN1CCCC1c1cccnc1","-6.036","Abdominoplasty","abdomen","epidermis, dermis","","","","0","","","Water","37","7.4","PBS","Franz cell","","","Degim, 1998","10.1016/S0378-5173(98)00113-6"
"Nicotine","CN1CCCC1c1cccnc1","-5.27","Cadaver","abdomen","epidermis, dermis","fat removed","4","0.5","0","30","9.2","NaOH","37","9.2","NaOH","Franz cell","","","Hadgraft, 1987","10.1016/0378-5173(87)90210-9"
"Nicotine","CN1CCCC1c1cccnc1","-5.546","Abdominoplasty or mammaplasty","abdomen, breast","epidermis, dermis","dermatomed 408um","-18","180","0","32","7.4","PBS","37","7.4","PBS","Franz cell","","","Qvist, 2000","10.1016/S0928-0987(00)00091-9"
"Nimesulide","[O-][N+](=O)c1ccc(c(c1)Oc1ccccc1)NS(=O)(=O)C","-6.551","Abdominoplasty","abdomen","epidermis, dermis","","-70","21","0","32","","","37","7.4","PBS","Franz cell","","","Degim, 2003","10.1002/jps.10312"
"Nitroglycerin","[O-][N+](=O)OC(CO[N+](=O)[O-])CO[N+](=O)[O-]","-5.556","Cadaver","thigh","epidermis, dermis","","4","14","0","30","","","30","6.5","Ringer solution","Glass diffusion cell","Jss_max= 13 (10-25) ug/(cm^2*h); c= 1.3mg/ml","maximum flux value used for kp calculation","Michaels A. S., 1975","10.1002/aic.690210522"
"Nizatidine","CN/C(=C[N+](=O)[O-])/NCCSCc1csc(n1)CN(C)C","-7.981","Abdominoplasty","abdomen","epidermis, dermis","","-70","21","0","32","","","37","7.4","PBS","Franz cell","","","Degim, 2003","10.1002/jps.10312"
